ticker,field,issue_type,period_end_date,details
NOW,income_tax_expense,restatement,2019-12-31,Value changed across filings: -559513000 (filed 2020-02-20) -> -560000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,income_tax_expense,restatement,2020-12-31,Value changed across filings: 30682000 (filed 2021-02-12) -> 31000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,pretax_income,tag_fallback,,"Primary tag 'IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest' didn't cover every year; filled gaps from ['IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments'] (period-by-period, only for dates the higher-priority tag never reports)."
NOW,pretax_income,restatement,2016-12-31,Value changed across filings: -450051000 (filed 2017-02-28) -> -410419000 (filed 2019-02-27). Keeping the later filing's value.
NOW,pretax_income,restatement,2017-12-31,Value changed across filings: -149004000 (filed 2018-02-28) -> -113406000 (filed 2020-02-20). Keeping the later filing's value.
NOW,interest_expense,tag_fallback,,"Primary tag 'InterestExpense' didn't cover every year; filled gaps from ['InterestExpenseDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
NOW,interest_expense,restatement,2019-12-31,Value changed across filings: 33283000 (filed 2020-02-20) -> 33000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,interest_expense,restatement,2020-12-31,Value changed across filings: 32746000 (filed 2021-02-12) -> 33000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,depreciation_amortization,restatement,2019-12-31,Value changed across filings: 252114000 (filed 2020-02-20) -> 252000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,depreciation_amortization,restatement,2020-12-31,Value changed across filings: 336381000 (filed 2021-02-12) -> 336000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,capex,restatement,2019-12-31,Value changed across filings: 264892000 (filed 2020-02-20) -> 265000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,capex,restatement,2020-12-31,Value changed across filings: 419327000 (filed 2021-02-12) -> 419000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,operating_cash_flow,restatement,2014-12-31,Value changed across filings: 138900000 (filed 2015-02-27) -> 140937000 (filed 2017-02-28). Keeping the later filing's value.
NOW,operating_cash_flow,restatement,2015-12-31,Value changed across filings: 315091000 (filed 2016-02-25) -> 317754000 (filed 2018-02-28). Keeping the later filing's value.
NOW,operating_cash_flow,restatement,2016-12-31,Value changed across filings: 159921000 (filed 2017-02-28) -> 159081000 (filed 2019-02-27). Keeping the later filing's value.
